Refnr     Vetenskapligt namn                  Engelskt namn    Föreslaget svenskt namn
 4531   Thamnophilus atrinucha        Western Slaty-Antshrike      Västlig skiffermyrtörnskata
 4532   Thamnophilus stictocephalus   Natterer's Slaty-Antshrike   Parámyrtörnskata
 4533   Thamnophilus sticturus        Bolivian Slaty-Antshrike     Lianmyrtörnskata
 4534   Thamnophilus pelzelni         Planalto Slaty-Antshrike     Planaltomyrtörnskata
 4535   Thamnophilus ambiguus         Sooretama Slaty-Antshrike    Sooretamamyrtörnskata
 4536   Thamnophilus amazonicus       Amazonian Antshrike          Amazonmyrtörnskata
 4537   Thamnophilus insignis         Streak-backed Antshrike      Tepuimyrtörnskata
 4538   Thamnophilus caerulescens     Variable Antshrike           Buskmyrtörnskata
 4539   Thamnophilus torquatus        Rufous-winged Antshrike      Brunvingad myrtörnskata
 4540   Thamnophilus ruficapillus     Rufous-capped Antshrike      Rödkronad myrtörnskata
 4541   Thamnophilus divisorius       Acre Antshrike               Acremyrtörnskata
 4542   Pygiptila stellaris           Spot-winged Antshrike        Fläckvingad myrtörnskata
 4543   Megastictus margaritatus      Pearly Antshrike             Pärlmyrtörnskata
 4544   Neoctantes niger              Black Bushbird               Svart myrtörnskata
 4545   Clytoctantes alixii           Recurve-billed Bushbird      Båtnäbbmyrfågel
 4546   Clytoctantes atrogularis      Rondonia Bushbird            Rondoniamyrfågel
 4547   Xenornis setifrons            Speckled Antshrike           Fläckig myrtörnskata
 4548   Thamnistes anabatinus         Russet Antshrike             Rödbrun myrtörnskata
 4549   Dysithamnus stictothorax      Spot-breasted Antvireo       Fläckbröstad myrvireo
 4550   Dysithamnus mentalis          Plain Antvireo               Enfärgad myrvireo
 4551   Dysithamnus striaticeps       Streak-crowned Antvireo      Strimhuvad myrvireo
 4552   Dysithamnus puncticeps        Spot-crowned Antvireo        Fläckhuvad myrvireo
 4553   Dysithamnus xanthopterus     Rufous-backed Antvireo     Brunryggad myrvireo
 4554   Dysithamnus occidentalis     Bicolored Antvireo         Tvåfärgad myrvireo
 4555   Dysithamnus plumbeus         Plumbeous Antvireo         Blygrå myrvireo
 4556   Dysithamnus leucostictus     White-streaked Antvireo    Vitfläckig myrvireo
 4557   Thamnomanes ardesiacus       Dusky-throated Antshrike   Gråstrupig myrtörnskata
 4558   Thamnomanes saturninus       Saturnine Antshrike        Svartstrupig myrtörnskata
 4559   Thamnomanes caesius          Cinereous Antshrike        Grå mytvireo
 4560   Thamnomanes schistogynus     Bluish-slate Antshrike     Gråblå myrvireo
 4561   Myrmotherula brachyura       Pygmy Antwren              Dvärgmyrsmyg
 4562   Myrmotherula ignota          Griscom's Antwren          Griscoms myrsmyg
 4563   Myrmotherula obscura         Short-billed Antwren       Kortnäbbad myrsmyg
 4564   Myrmotherula sclateri        Sclater's Antwren          Sclaters myrsmyg
 4565   Myrmotherula klagesi         Klages' Antwren            Klages myrsmyg
 4566   Myrmotherula surinamensis    Guianan Antwren            Guianamyrsmyg
 4567   Myrmotherula pacifica        Pacific Antwren            Västlig myrsmyg
 4568   Myrmotherula multostriata    Amazonian Antwren          Amazonmyrsmyg
 4569   Myrmotherula ambigua         Yellow-throated Antwren    Gulstrupig myrsmyg
 4570   Myrmotherula cherriei        Cherrie's Antwren          Cherries myrsmyg
 4571   Myrmotherula guttata         Rufous-bellied Antwren     Rostbukad myrsmyg
 4572   Myrmotherula longicauda      Stripe-chested Antwren     Andinsk myrsmyg
 4573   Myrmotherula hauxwelli       Plain-throated Antwren     Gråbukad myrsmyg
 4574   Myrmotherula gularis         Star-throated Antwren      Stjärnstrupmyrsmyg
 4575   Myrmotherula gutturalis      Brown-bellied Antwren      Brunbukad myrsmyg
 4576   Myrmotherula fulviventris    Checker-throated Antwren   Lianmyrsmyg
 4577   Myrmotherula leucophthalma   White-eyed Antwren         Vitögd myrsmyg
 4578   Myrmotherula haematonota     Stipple-throated Antwren   Prickstrupmyrsmyg
 4579   Myrmotherula fjeldsaai       Brown-backed Antwren       Brunryggad myrsmyg
 4580   Myrmotherula spodionota      Foothill Antwren           Ecuadormyrsmyg
 4581   Myrmotherula ornata          Ornate Antwren             Praktmyrsmyg
 4582   Myrmotherula erythrura       Rufous-tailed Antwren      Roststjärtad myrsmyg
 4583   Myrmotherula axillaris       White-flanked Antwren      Vitsidig myrsmyg
 4584   Myrmotherula fluminensis     Rio de Janeiro Antwren     Rio de Janeiro myrsmyg
 4585   Myrmotherula schisticolor    Slaty Antwren              Skiffermyrsmyg
 4586   Myrmotherula sunensis          Rio Suno Antwren          Rio Suno myrsmyg
 4587   Myrmotherula longipennis       Long-winged Antwren       Långvingad myrsmyg
 4588   Myrmotherula minor             Salvadori's Antwren       Salvadoris myrsmyg
 4589   Myrmotherula iheringi          Ihering's Antwren         Iherings myrsmyg
 4590   Myrmotherula grisea            Yungas Antwren            Yungasmyrsmyg
 4591   Myrmotherula unicolor          Unicolored Antwren        Enfärgad myrsmyg
 4592   Myrmotherula snowi             Alagoas Antwren           Alagoasmyrsmyg
 4593   Myrmotherula behni             Plain-winged Antwren      Mörkvingad myrsmyg
 4594   Myrmotherula urosticta         Band-tailed Antwren       Bandstjärtad myrsmyg
 4595   Myrmotherula menetriesii       Grey Antwren              Grå myrsmyg
 4596   Myrmotherula assimilis         Leaden Antwren            Ljusbukad myrsmyg
 4597   Dichrozona cincta              Banded Antbird            Bandad myrfågel
 4598   Myrmorchilus strigilatus       Stripe-backed Antbird     Strimryggad myrfågel
 4599   Herpsilochmus sticturus        Spot-tailed Antwren       Fläckstjärtad myrsmyg
 4600   Herpsilochmus dugandi          Dugand's Antwren          Dugands myrsmyg
 4601   Herpsilochmus stictocephalus   Todd's Antwren            Todds myrsmyg
 4602   Herpsilochmus gentryi          Ancient Antwren           Napomyrsmyg
 4603   Herpsilochmus dorsimaculatus   Spot-backed Antwren       Fläckryggad myrsmyg
 4604   Herpsilochmus roraimae         Roraiman Antwren          Roraimamyrsmyg
 4605   Herpsilochmus parkeri          Ash-throated Antwren      Askstrupig myrsmyg
 4606   Herpsilochmus motacilloides    Creamy-bellied Antwren    Gulbukad myrsmyg
 4607   Herpsilochmus atricapillus     Black-capped Antwren      Svartkronad myrsmyg
 4608   Herpsilochmus pileatus         Bahia Antwren             Bahiamyrsmyg
 4609   Herpsilochmus sellowi          Caatinga Antwren          Caatingamyrsmyg
 4610   Herpsilochmus longirostris     Large-billed Antwren      Stornäbbad myrsmyg
 4611   Herpsilochmus pectoralis       Pectoral Antwren          Kragmyrsmyg
 4612   Herpsilochmus rufimarginatus   Rufous-winged Antwren     Rödvingad myrsmyg
 4613   Herpsilochmus axillaris        Yellow-breasted Antwren   Gulbröstad myrsmyg
 4614   Microrhopias quixensis         Dot-winged Antwren        Fläckvingad myrsmyg
 4615   Formicivora erythronotos       Black-hooded Antwren      Svarthuvad myrsmyg
 4616   Formicivora iheringi           Narrow-billed Antwren     Smalnäbbad myrsmyg
 4617   Formicivora grisea             White-fringed Antwren     Vitrandad myrsmyg
 4618   Formicivora serrana            Serra Antwren             Sierramyrsmyg
 4619   Formicivora littoralis       Restinga Antwren              Restingamyrsmyg
 4620   Formicivora melanogaster     Black-bellied Antwren         Svartbukad myrsmyg
 4621   Formicivora rufa             Rusty-backed Antwren          Rostryggad myrsmyg
 4622   Stymphalornis acutirostris   Paraná Antwren                Paranámyrsmyg
 4623   Drymophila ferruginea        Ferruginous Antbird           Rostmyrfågel
 4624   Drymophila rubricollis       Bertoni's Antbird             Bertonis myrfågel
 4625   Drymophila genei             Rufous-tailed Antbird         Roststjärtad myrfågel
 4626   Drymophila ochropyga         Ochre-rumped Antbird          Ockragumpad myrfågel
 4627   Drymophila devillei          Striated Antbird              Strimmig myrfågel
 4628   Drymophila caudata           Long-tailed Antbird           Långstjärtad myrfågel
 4629   Drymophila malura            Dusky-tailed Antbird          Mörkstjärtad myrfågel
 4630   Drymophila squamata          Scaled Antbird                Fjällig myrfågel
 4631   Terenura maculata            Streak-capped Antwren         Streckhuvad myrsmyg
 4632   Terenura callinota           Rufous-rumped Antwren         Brungumpad myrsmyg
 4633   Terenura humeralis           Chestnut-shouldered Antwren   Kastanjeskuldrad myrsmyg
 4634   Terenura sharpei             Yellow-rumped Antwren         Gulgumpad myrsmyg
 4635   Terenura spodioptila         Ash-winged Antwren            Gråvingad myrsmyg
 4636   Terenura sicki               Orange-bellied Antwren        Orangebukad myrsmyg
 4637   Cercomacra cinerascens       Grey Antbird                  Grå myrfågel
 4638   Cercomacra brasiliana        Rio de Janeiro Antbird        Rio de Janeiromyrfågel
 4639   Cercomacra tyrannina         Dusky Antbird                 Mörk myrfågel
 4640   Cercomacra parkeri           Parker's Antbird              Parkers myrfågel
 4641   Cercomacra laeta             Laeta Antbird                 Laetamyrfågel
 4642   Cercomacra nigrescens        Blackish Antbird              Gråsvart myrfågel
 4643   Cercomacra serva             Black Antbird                 Svart myrfågel
 4644   Cercomacra nigricans         Jet Antbird                   Beckmyrfågel
 4645   Cercomacra carbonaria        Rio Branco Antbird            Rio Brancomyrfågel
 4646   Cercomacra melanaria         Mato Grosso Antbird           Mato Grossomyrfågel
 4647   Cercomacra manu              Manu Antbird                  Manumyrfågel
 4648   Cercomacra ferdinandi        Bananal Antbird               Bananalmyrfågel
 4649   Myrmeciza berlepschi         Stub-tailed Antbird           Stubbstjärtad myrfågel
 4650   Pyriglena leuconota          White-backed Fire-Eye         Vitryggat eldöga
 4651   Pyriglena atra               Fringe-backed Fire-Eye        Fjällryggat eldöga
 4652   Pyriglena leucoptera        White-shouldered Fire-Eye          Vitskuldrat eldöga
 4653   Rhopornis ardesiacus        Slender Antbird                    Eldögd myrfågel
 4654   Myrmoborus leucophrys       White-browed Antbird               Vitbrynad myrfågel
 4655   Myrmoborus lugubris         Ash-breasted Antbird               Gråbröstad myrfågel
 4656   Myrmoborus myotherinus      Black-faced Antbird                Svartmaskad myrfågel
 4657   Myrmoborus melanurus        Black-tailed Antbird               Svartstjärtad myrfågel
 4658   Hypocnemis cantator         Warbling Antbird                   Drillmyrfågel
 4659   Hypocnemis hypoxantha       Yellow-browed Antbird              Gulbrynad myrfågel
 4660   Hypocnemoides melanopogon   Black-chinned Antbird              Svarthakad myrfågel
 4661   Hypocnemoides maculicauda   Band-tailed Antbird                Bandstjärtad myrfågel
 4662   Myrmochanes hemileucus      Black-and-white Antbird            Svartvit myrfågel
 4663   Gymnocichla nudiceps        Bare-crowned Antbird               Blåhuvad myrfågel
 4664   Sclateria naevia            Silvered Antbird                   Silvermyrfågel
 4665   Percnostola rufifrons       Black-headed Antbird               Svarthuvad myrfågel
 4666   Percnostola minor           Amazonas Antbird                   Amazonmyrfågel
 4667   Percnostola arenarum        Allpahuayo Antbird                 Allpahuayomyrfågel
 4668   Schistocichla schistacea    Slate-colored Antbird              Skifferfärgad myrfågel
 4669   Schistocichla leucostigma   Spot-winged Antbird                Fläckvingad myrfågel
 4670   Schistocichla caurensis     Caura Antbird                      Cauramyrfågel
 4671   Percnostola lophotes        White-lined Antbird                Tofsmyrfågel
 4672   Myrmeciza longipes          White-bellied Antbird              Vitbukad myrfågel
 4673   Myrmeciza exsul             Chestnut-backed Antbird            Brunryggad myrfågel
 4674   Myrmeciza ferruginea        Ferruginous-backed Antbird         Rostryggad myrfågel
 4675   Myrmeciza ruficauda         Scalloped Antbird                  Vattrad myrfågel
 4676   Myrmeciza loricata          White-bibbed Antbird               Vithakad myrfågel
 4677   Myrmeciza squamosa          Squamate Antbird                   Svartkindad myrfågel
 4678   Myrmeciza laemosticta       Dull-mantled Antbird               Mörkryggad myrfågel
 4679   Myrmeciza nigricauda        Esmeraldas Antbird                 Esmeraldasmyrfågel
 4680   Myrmeciza disjuncta         Yapacana Antbird                   Yapacanamyrfågel
 4681   Myrmeciza pelzelni          Grey-bellied Antbird               Gråbukad myrfågel
 4682   Myrmeciza hemimelaena       Southern Chestnut-tailed Antbird   Kastanjestjärtad myrfågel
 4683   Myrmeciza castanea          Northern Chestnut-tailed Antbird   Maynasmyrfågel
 4684   Myrmeciza hyperythra        Plumbeous Antbird                  Blygrå myrfågel
 4685   Myrmeciza goeldii            Goeldi's Antbird            Goeldis myrfågel
 4686   Myrmeciza melanoceps         White-shouldered Antbird    Vitskuldrad myrfågel
 4687   Myrmeciza fortis             Sooty Antbird               Sotmyrfågel
